MTS,Outcome,coef,SE,p,CI_low,CI_high,N
mts_pca_3feat,part_n_war,0.30259299334009093,0.14491116985002175,0.03684000356787731,0.0184992053824653,0.5866867812977166,4896
mts_pca_3feat,part_n_minor,0.5391559569699179,0.17263831785242287,0.0018008243242397803,0.20070396796114903,0.8776079459786867,4896
mts_pca_3feat,war_minor_ratio,0.23409537294045663,0.22302146875803056,0.2940281076751754,-0.2033336302268337,0.671524376107747,1846
mts_pca_3feat,part_n_extraterritorial,0.1602261484561156,0.2017914450778889,0.4272246998271281,-0.2353796289932894,0.5558319259055207,4896
mts_pca_3feat,extraterritorial_share,-0.5093770821291989,0.33056378671313774,0.12352098490110874,-1.1577370293144447,0.13898286505604684,1846
mts_pca_3feat,log_brd,2.0297374623975606,0.5914762810989318,0.000605098149248251,0.8701668277915791,3.189308097003542,4896
mts_milex,part_n_war,0.04411016018437785,0.23525978255409866,0.8512802078057642,-0.41710923959725454,0.5053295599660103,4896
mts_milex,part_n_minor,0.9132708351812371,0.3820026923175206,0.01685334790501769,0.16436657898887352,1.6621750913736006,4896
mts_milex,war_minor_ratio,-0.055652311344249895,0.4204580707568416,0.8947144874869037,-0.8803287686782914,0.7690241459897916,1846
mts_milex,part_n_extraterritorial,0.4527133124105666,0.32762444779302674,0.1670970159166445,-0.18958410674198717,1.0950107315631203,4896
mts_milex,extraterritorial_share,-1.4980360836430766,0.5455572307837183,0.006099141940030917,-2.5680790573594185,-0.42799310992673467,1846
mts_milex,log_brd,0.8088808659658232,0.8068068865485993,0.3161196655661773,-0.7728386439043505,2.390600375835997,4896
mts_tiv,part_n_war,0.08629293968211293,0.05653162129152951,0.12696543955124429,-0.024536138223415535,0.19712201758764142,4809
mts_tiv,part_n_minor,0.2180290414395179,0.1289822815141271,0.09102301280020386,-0.03483806195813233,0.47089614483716813,4809
mts_tiv,war_minor_ratio,0.12989232546874466,0.09129937664306398,0.1550027713985367,-0.049177541951456905,0.3089621928889462,1882
mts_tiv,part_n_extraterritorial,0.09156789740749614,0.10665827174523489,0.39065195786759355,-0.11753344514134835,0.30066923995634065,4809
mts_tiv,extraterritorial_share,-0.07256415288915394,0.1733195830533759,0.6755078796143319,-0.41250420395904763,0.2673758981807398,1882
mts_tiv,log_brd,0.6229944755042377,0.25457231153789683,0.01443340557850048,0.1239107078102884,1.122078243198187,4809
