iso3_epoch,iso3,epoch,mts_pca_3feat_mean,mts_milex_mean,part_n_war_mean,part_n_minor_mean,war_minor_ratio_mean,extraterritorial_share_mean,vdem_v2x_polyarchy_mean,conflict_active_pct,log_brd_mean
AGO_1990s,AGO,1990s,0.3066884365689615,0.48423140258045333,1.1818181818181819,1.5454545454545454,0.47835497835497837,0.32575757575757575,0.1329090909090909,1.0,7.837626109760039
AGO_2000s,AGO,2000s,0.2978661939946526,0.559677413341376,0.2,1.1,0.11904761904761904,0.2619047619047619,0.1694,0.7,5.618224586294555
AGO_2010s,AGO,2010s,0.2763200310238596,0.579354396812679,0.0,0.3,0.0,0.0,0.2964,0.3,2.1400661634962708
AGO_2020s,AGO,2020s,0.24475401764142948,0.5120979547887575,0.0,1.6,0.0,0.6,0.3316,1.0,2.772588722239781
ALB_1990s,ALB,1990s,0.15794737868966804,0.37935213029488407,0.0,0.0,0.12857142857142856,1.0,0.35963636363636364,0.0,0.0
ALB_2000s,ALB,2000s,0.1487600985118334,0.38353195908842663,1.0,1.1,0.48333333333333334,2.4166666666666665,0.5006999999999999,0.6,0.0
ALB_2010s,ALB,2010s,0.17033578045340275,0.4003443434316864,0.5,0.3,0.7,1.6,0.5272,0.5,0.0
ALB_2020s,ALB,2020s,0.18563062173417372,0.4225914908657141,0.0,0.0,0.12857142857142856,1.0,0.5172000000000001,0.0,0.0
ARE_1990s,ARE,1990s,0.4004040780084921,0.6535141776623123,0.09090909090909091,0.0,1.0,1.0,0.025181818181818184,0.09090909090909091,0.0
ARE_2000s,ARE,2000s,0.407019991616146,0.6820352166023874,0.1,0.1,0.5,2.0,0.0383,0.1,0.0
ARE_2010s,ARE,2010s,0.43517081773043553,0.7313058348184472,1.4,0.3,0.85,1.3,0.0911,1.0,0.0
ARG_1990s,ARG,1990s,0.30097513671517195,0.6131504075350064,0.09090909090909091,0.0,1.0,1.0,0.8293636363636363,0.09090909090909091,0.0
ARG_2000s,ARG,2000s,0.28471659184763104,0.5994136703503196,0.0,0.0,0.12857142857142856,1.0,0.7969999999999999,0.0,0.0
ARG_2010s,ARG,2010s,0.28227726164616873,0.6130451387779832,0.0,0.0,0.12857142857142856,1.0,0.7633,0.0,0.0
ARG_2020s,ARG,2020s,0.29530705512424926,0.6048756159780372,0.0,0.4,0.0,1.0,0.7966,0.4,0.0
ARM_1990s,ARM,1990s,0.18218540157100058,0.3719417905715861,0.18181818181818182,0.45454545454545453,0.3333333333333333,1.0,0.5082,0.5454545454545454,0.0
ARM_2000s,ARM,2000s,0.17871680536526294,0.41700878007577113,0.4,1.0,0.29166666666666663,2.625,0.3583,0.4,0.0
ARM_2010s,ARM,2010s,0.22740569017397264,0.467861425914493,0.5,2.0,0.25,1.4166666666666665,0.4103,1.0,0.0
ARM_2020s,ARM,2020s,0.24403845960104592,0.502807481517148,0.2,1.4,0.08333333333333333,1.0,0.683,0.8,0.0
AUS_1990s,AUS,1990s,0.3845736771444698,0.6909306792934081,0.09090909090909091,0.0,1.0,1.0,0.8879090909090909,0.09090909090909091,0.0
AUS_2000s,AUS,2000s,0.4079959177366684,0.7106427062430949,1.4,1.3,0.5259259259259259,1.7777777777777777,0.8824,0.9,0.0
AUS_2010s,AUS,2010s,0.4276050150675769,0.7332696150843622,0.9,0.4,0.7222222222222222,1.3333333333333333,0.8696999999999999,0.9,0.0
AUS_2020s,AUS,2020s,0.43037574642832055,0.7501362792133209,0.2,1.6,0.1,1.0,0.842,1.0,0.0
AUT_1990s,AUT,1990s,0.2908745063707905,0.5962808300264377,0.0,0.0,0.12857142857142856,1.0,0.8568181818181819,0.0,0.0
AUT_2000s,AUT,2000s,0.30612526443825183,0.5961471559821641,0.3,0.1,0.8333333333333334,1.3333333333333333,0.8627,0.3,0.0
AUT_2010s,AUT,2010s,0.2530520651137346,0.593762631694935,0.5,1.5,0.35,1.5,0.8648,1.0,0.0
AUT_2020s,AUT,2020s,0.2786076957601674,0.6080580053351982,0.2,1.4,0.125,1.0,0.8482,0.8,0.0
AZE_1990s,AZE,1990s,0.188170856514551,0.39369675333544774,0.2727272727272727,0.45454545454545453,0.35714285714285715,0.0,0.24819999999999998,0.6363636363636364,6.13083115443154
AZE_2000s,AZE,2000s,0.24549311392169887,0.4695886192924271,1.0,1.3,0.4527777777777778,2.055555555555556,0.22669999999999998,0.6,1.8718021769015913
AZE_2010s,AZE,2010s,0.3424876322688045,0.565372118128266,0.5,0.8,0.3125,0.875,0.20060000000000003,0.8,3.4965075614664802
AZE_2020s,AZE,2020s,0.2696895107559175,0.5866362090482348,0.2,0.6,0.25,0.0,0.1862,0.8,7.4337847364904
BDI_1990s,BDI,1990s,0.14221728174642997,0.3280579993509331,0.0,1.3636363636363635,0.0,0.0,0.17981818181818182,0.7272727272727273,6.025426703007796
BDI_2000s,BDI,2000s,0.13986624735364178,0.3385123882266263,0.0,1.2,0.0,0.0,0.2926,0.8,6.411489806547476
BDI_2010s,BDI,2010s,0.13303672581142312,0.32486474042409785,0.7,3.0,0.28229166666666666,1.2875,0.22800000000000004,0.8,3.4404180948154366
BDI_2020s,BDI,2020s,0.12393736174442638,0.3438477971027796,1.2,6.0,0.1738095238095238,1.0071428571428571,0.1804,1.0,4.727387818712341
BEL_1990s,BEL,1990s,0.324927786705992,0.6404960783459135,0.18181818181818182,0.0,1.0,1.0,0.8768181818181818,0.18181818181818182,0.0
BEL_2000s,BEL,2000s,0.3084209498558102,0.6290873064999063,0.5,0.5,0.5833333333333334,1.3333333333333333,0.8863,0.6,0.0
BEL_2010s,BEL,2010s,0.2897992724681557,0.6221273718226666,0.9,2.2,0.35,1.55,0.9007,1.0,0.0
BEL_2020s,BEL,2020s,0.3414844534549542,0.641307591100795,0.2,1.4,0.125,1.0,0.8949999999999999,0.8,0.0
BEN_1990s,BEN,1990s,0.0992766898350916,0.2729472058219336,0.0,0.0,0.12857142857142856,1.0,0.5153636363636364,0.0,0.0
BEN_2000s,BEN,2000s,0.10271737672708584,0.27593692008044846,0.0,0.0,0.12857142857142856,1.0,0.6228,0.0,0.0
BEN_2010s,BEN,2010s,0.12787412169159337,0.322996425390666,0.0,2.4,0.0,1.7857142857142858,0.6174,0.7,0.0
BEN_2020s,BEN,2020s,0.15256398480360853,0.3427904755618803,0.2,3.8,0.04,0.9533333333333334,0.43979999999999997,1.0,3.332204510175204
BFA_1990s,BFA,1990s,0.12111619216847797,0.3138377836243962,0.0,0.0,0.12857142857142856,1.0,0.3932727272727272,0.0,0.0
BFA_2000s,BFA,2000s,0.13470094602664223,0.3314193785668674,0.0,0.0,0.12857142857142856,1.0,0.5248,0.0,0.0
BFA_2010s,BFA,2010s,0.17070944671002014,0.383465378857918,0.0,2.7,0.0,1.6809523809523808,0.5923,0.7,3.7796338173824005
BFA_2020s,BFA,2020s,0.23464413485834648,0.46759797692316907,0.8,5.6,0.12857142857142856,0.7361904761904763,0.3874,1.0,7.640892107758241
BGD_1990s,BGD,1990s,0.2803621202795749,0.5113007043405277,0.09090909090909091,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.47100000000000003,0.2727272727272727,2.2749335616635356
BGD_2000s,BGD,2000s,0.2753023658312993,0.5366567398121348,0.0,0.3,0.0,0.0,0.4165,0.2,2.5572273113676265
BGD_2010s,BGD,2010s,0.3412836855438105,0.5840368033427372,0.0,2.6,0.0,1.5952380952380951,0.3216,0.7,2.2823823856765264
BGD_2020s,BGD,2020s,0.32114389349983374,0.6009299095749283,0.2,4.4,0.025,1.3333333333333333,0.24980000000000002,1.0,0.0
BGR_1990s,BGR,1990s,0.2709966448553008,0.5291736616165228,0.0,0.0,0.12857142857142856,1.0,0.6348181818181818,0.0,0.0
BGR_2000s,BGR,2000s,0.2474141792836738,0.5145529724548066,1.0,1.1,0.48333333333333334,2.4166666666666665,0.7085999999999999,0.6,0.0
BGR_2010s,BGR,2010s,0.20130363852032995,0.5032205694749674,0.5,0.3,0.7,1.6,0.6523000000000001,0.5,0.0
BGR_2020s,BGR,2020s,0.21786923832626331,0.5377321315656447,0.0,0.0,0.12857142857142856,1.0,0.651,0.0,0.0
BHR_1990s,BHR,1990s,0.24357935448201512,0.4365912757839641,0.09090909090909091,0.0,1.0,1.0,0.049090909090909095,0.09090909090909091,0.0
BHR_2000s,BHR,2000s,0.24865931671050495,0.47554108895504194,0.0,0.0,0.12857142857142856,1.0,0.1862,0.0,0.0
BHR_2010s,BHR,2010s,0.2648345461978669,0.5253239083218513,0.9,0.0,1.0,1.0,0.15489999999999998,0.7,0.0
BHR_2020s,BHR,2020s,0.31861055687302176,0.5279363405599069,0.6,0.6,0.6,1.0,0.13540000000000002,1.0,0.0
BIH_2000s,BIH,2000s,0.14260038126620497,0.4023999103632543,0.5,0.9,0.3833333333333333,2.8,0.6212,0.5,0.0
BIH_2010s,BIH,2010s,0.13551715323743913,0.38275730026866484,0.5,1.3,0.3888888888888889,1.4444444444444444,0.5476,0.9,0.0
BIH_2020s,BIH,2020s,0.14901883984331227,0.3874072452208481,0.0,0.8,0.0,1.0,0.511,0.4,0.0
BLR_1990s,BLR,1990s,0.1559009287377912,0.3790572813255109,0.0,0.0,0.12857142857142856,1.0,0.46040000000000003,0.0,0.0
BLR_2000s,BLR,2000s,0.16640533087276224,0.41715986102562014,0.0,0.0,0.12857142857142856,1.0,0.2398,0.0,0.0
BLR_2010s,BLR,2010s,0.26857140753613806,0.4698043944955991,0.0,0.0,0.12857142857142856,1.0,0.24159999999999998,0.0,0.0
BLR_2020s,BLR,2020s,0.29320254142429153,0.5073019410849053,0.0,0.0,0.12857142857142856,1.0,0.1736,0.0,0.0
BLZ_1990s,BLZ,1990s,0.06531132011837415,0.18015194668799558,0.0,0.0,0.12857142857142856,1.0,0.4992,0.0,0.0
BLZ_2000s,BLZ,2000s,0.07046130266173571,0.19663102264758442,0.0,0.0,0.12857142857142856,1.0,0.4992,0.0,0.0
BLZ_2010s,BLZ,2010s,0.0838195338092388,0.23017143958817168,0.0,0.0,0.12857142857142856,1.0,0.4992,0.0,0.0
BLZ_2020s,BLZ,2020s,0.09207058709720387,0.2519127985302584,0.0,0.0,0.12857142857142856,1.0,0.4992,0.0,0.0
BOL_1990s,BOL,1990s,0.19675497881213821,0.4257893120630486,0.0,0.0,0.12857142857142856,1.0,0.7062727272727273,0.0,0.0
BOL_2000s,BOL,2000s,0.18961761699872084,0.44276552843012046,0.0,0.0,0.12857142857142856,1.0,0.7293000000000001,0.0,0.0
BOL_2010s,BOL,2010s,0.21910606491538073,0.4729867766356971,0.0,0.1,0.0,1.0,0.6219,0.1,0.0
BOL_2020s,BOL,2020s,0.17546601905069842,0.45545073213422105,0.0,0.2,0.0,1.0,0.5266,0.2,0.0
BRA_1990s,BRA,1990s,0.3740889040819237,0.6813912686905934,0.0,0.5454545454545454,0.0,1.0,0.83,0.5454545454545454,0.0
BRA_2000s,BRA,2000s,0.37390691038692536,0.7068328505556456,0.0,0.2,0.0,1.0,0.8606999999999999,0.2,0.0
BRA_2010s,BRA,2010s,0.3827057478429071,0.7289755896520912,0.0,0.5,0.0,1.0,0.8219,0.3,0.0
BRA_2020s,BRA,2020s,0.38840880583951687,0.7209323630596979,0.0,1.4,0.0,1.5,0.7354,0.8,0.0
BRN_1990s,BRN,1990s,0.18798163345372004,0.431371509635126,0.0,0.0,0.12857142857142856,1.0,0.4992,0.0,0.0
BRN_2000s,BRN,2000s,0.17143249465709465,0.4245017344393508,0.0,0.0,0.12857142857142856,1.0,0.4992,0.0,0.0
BRN_2010s,BRN,2010s,0.21250897403816443,0.43734525430242027,0.0,0.0,0.12857142857142856,1.0,0.4992,0.0,0.0
