iteration,cluster_0,cluster_1,cluster_2,cluster_3
0,0.6022727272727273,0.6694915254237288,0.570446735395189,0.5703125
1,0.5287356321839081,0.6016949152542372,0.6458333333333334,0.5769230769230769
2,0.4727272727272727,0.6341463414634146,0.4862068965517241,0.2839506172839506
3,0.5894736842105263,0.5327868852459017,0.5929824561403508,0.46564885496183206
4,0.5252525252525253,0.4,0.5423728813559322,0.3472222222222222
5,0.4774774774774775,0.5333333333333333,0.45674740484429066,0.3273809523809524
6,0.6352941176470588,0.652542372881356,0.6082474226804123,0.5555555555555556
7,0.5217391304347826,0.5615384615384615,0.4618055555555556,0.17647058823529413
8,0.10948905109489052,0.6115702479338843,0.4778156996587031,0.44805194805194803
9,0.5137614678899083,0.6115702479338843,0.4840989399293286,0.3231707317073171
10,0.3644067796610169,0.496,0.4377104377104377,0.2111111111111111
11,0.3739130434782609,0.5645161290322581,0.4618055555555556,0.2696629213483146
12,0.48314606741573035,0.6446280991735537,0.5986159169550173,0.463768115942029
13,0.5955056179775281,0.6186440677966102,0.6020761245674741,0.624
14,0.6210526315789474,0.5528455284552846,0.4807017543859649,0.32335329341317365
15,0.6333333333333333,0.5333333333333333,0.5950704225352113,0.6062992125984252
16,0.6590909090909091,0.5966386554621849,0.6280701754385964,0.584
17,0.17482517482517482,0.6475409836065574,0.45084745762711864,0.43661971830985913
18,0.7058823529411765,0.6083333333333333,0.6083916083916084,0.56
19,0.6235294117647059,0.5365853658536586,0.5951557093425606,0.6299212598425197
20,0.3203125,0.5714285714285714,0.5397923875432526,0.2214765100671141
21,0.6091954022988506,0.5901639344262295,0.6118881118881119,0.6136363636363636
22,0.5412844036697247,0.488,0.40955631399317405,0.171875
23,0.6179775280898876,0.6198347107438017,0.6048951048951049,0.544
24,0.04081632653061224,0.5491803278688525,0.4548611111111111,0.39751552795031053
25,0.6,0.680327868852459,0.599290780141844,0.6771653543307087
26,0.4649122807017544,0.6,0.44755244755244755,0.28901734104046245
27,0.4322033898305085,0.6747967479674797,0.4791666666666667,0.24561403508771928
28,0.5393258426966292,0.6083333333333333,0.6341463414634146,0.5223880597014925
29,0.21951219512195122,0.5867768595041323,0.4982698961937716,0.5138888888888888
30,0.11971830985915492,0.6033057851239669,0.45614035087719296,0.39490445859872614
31,0.5625,0.5833333333333334,0.6126760563380281,0.48091603053435117
32,0.5729166666666666,0.5655737704918032,0.6099290780141844,0.4961832061068702
33,0.5913978494623656,0.5371900826446281,0.6134751773049646,0.5606060606060606
34,0.5747126436781609,0.6666666666666666,0.6267605633802817,0.5634920634920635
35,0.5204081632653061,0.6363636363636364,0.627177700348432,0.5153846153846153
36,0.5402298850574713,0.635593220338983,0.5938566552901023,0.5681818181818182
37,0.611764705882353,0.5447154471544715,0.5859649122807018,0.5639097744360902
38,0.36496350364963503,0.4148148148148148,0.5050847457627119,0.14
39,0.5934065934065934,0.5806451612903226,0.5798611111111112,0.43703703703703706
40,0.5660377358490566,0.5403225806451613,0.48056537102473496,0.2976190476190476
41,0.4222222222222222,0.5619834710743802,0.6468531468531469,0.4785714285714286
42,0.5454545454545454,0.6198347107438017,0.570446735395189,0.4927536231884058
43,0.54,0.5932203389830508,0.6276595744680851,0.5419847328244275
44,0.4823529411764706,0.5833333333333334,0.5738831615120275,0.5895522388059702
45,0.6823529411764706,0.5666666666666667,0.6363636363636364,0.56
46,0.44166666666666665,0.6033057851239669,0.44405594405594406,0.2823529411764706
47,0.38461538461538464,0.7142857142857143,0.45614035087719296,0.2891566265060241
48,0.4051724137931034,0.6611570247933884,0.4722222222222222,0.23563218390804597
49,0.1896551724137931,0.5737704918032787,0.5201342281879194,0.37662337662337664
50,0.41025641025641024,0.616,0.44482758620689655,0.23391812865497075
51,0.53125,0.55,0.5951557093425606,0.3767123287671233
52,0.0,0.2925170068027211,0.4899328859060403,0.36046511627906974
53,0.1276595744680851,0.5245901639344263,0.44405594405594406,0.41566265060240964
54,0.5434782608695652,0.5950413223140496,0.6170212765957447,0.5859375
55,0.5333333333333333,0.680672268907563,0.6180555555555556,0.5789473684210527
56,0.6,0.6302521008403361,0.6466431095406361,0.5634920634920635
57,0.1111111111111111,0.6776859504132231,0.44982698961937717,0.4394904458598726
58,0.5882352941176471,0.6115702479338843,0.6089965397923875,0.5390625
59,0.43956043956043955,0.6115702479338843,0.625,0.5447761194029851
60,0.15217391304347827,0.5609756097560976,0.47315436241610737,0.37333333333333335
61,0.5769230769230769,0.675,0.5714285714285714,0.49242424242424243
62,0.5930232558139535,0.584,0.6302816901408451,0.6015625
63,0.6043956043956044,0.5714285714285714,0.6048951048951049,0.6190476190476191
64,0.5104166666666666,0.5725806451612904,0.6170212765957447,0.5968992248062015
65,0.49122807017543857,0.528,0.42857142857142855,0.1751412429378531
66,0.46846846846846846,0.5555555555555556,0.486013986013986,0.23837209302325582
67,0.4260869565217391,0.5289256198347108,0.4429065743944637,0.23756906077348067
68,0.5568181818181818,0.6302521008403361,0.5815602836879432,0.5625
69,0.48863636363636365,0.6050420168067226,0.5709459459459459,0.5851851851851851
70,0.2905982905982906,0.575,0.4791666666666667,0.2982456140350877
71,0.3898305084745763,0.7083333333333334,0.4425087108013937,0.2781065088757396
72,0.45689655172413796,0.5583333333333333,0.4809688581314879,0.30952380952380953
73,0.6352941176470588,0.6065573770491803,0.596551724137931,0.5419847328244275
74,0.0,0.36585365853658536,0.4735099337748344,0.36470588235294116
75,0.45689655172413796,0.5491803278688525,0.5156794425087108,0.2822085889570552
76,0.611764705882353,0.5916666666666667,0.5774647887323944,0.6
77,0.5116279069767442,0.5798319327731093,0.5833333333333334,0.5367647058823529
78,0.5232558139534884,0.6776859504132231,0.6153846153846154,0.5073529411764706
79,0.4117647058823529,0.5677966101694916,0.6151202749140894,0.5777777777777777
80,0.0,0.33884297520661155,0.4752475247524752,0.4311377245508982
81,0.4608695652173913,0.6557377049180327,0.46153846153846156,0.281437125748503
82,0.23129251700680273,0.5511811023622047,0.5155709342560554,0.23026315789473684
83,0.2857142857142857,0.616,0.4452054794520548,0.0855614973262032
84,0.625,0.576271186440678,0.6180555555555556,0.5669291338582677
85,0.5858585858585859,0.628099173553719,0.5567375886524822,0.47368421052631576
