k,silhouette,inertia,gap,gap_sk
2,0.26536286860024816,4169.289636905579,0.7627767276157211,0.013814519952292926
3,0.287879420730628,3345.984025797658,0.894628294972577,0.013251444507707426
4,0.29318868956981287,2974.2093014905845,0.9406150154572464,0.012851748490984225
5,0.2295184676855105,2660.792396806416,0.9955874996544303,0.01417646253550918
6,0.24066313287917598,2412.934201604404,1.0494258885547882,0.014130485064050851
7,0.2549369664064473,2213.6721820158828,1.0870367555953582,0.013186770346353193
8,0.26713329137758535,2035.9021063974528,1.135581678178787,0.015939051914502102
