MTS,Outcome,africa_β,africa_p,sig,wald_stat,wald_p,N
mts_pca_3feat,part_n_war,1.2439,0.0693,*,9.326,0.156,5007
mts_pca_3feat,part_n_minor,4.8774,0.0073,***,6.796,0.3402,5007
mts_pca_3feat,log_brd,4.9485,0.0002,***,13.904,0.0307,4896
mts_milex,part_n_war,0.0739,0.9396,,3.251,0.7768,5007
mts_milex,part_n_minor,9.3437,0.0016,***,9.97,0.1259,5007
mts_milex,log_brd,3.057,0.0857,*,15.525,0.0165,4896
mts_tiv,part_n_war,0.3395,0.1634,,2.962,0.8136,4934
mts_tiv,part_n_minor,2.2771,0.0009,***,11.481,0.0746,4934
mts_tiv,log_brd,1.881,0.0,***,23.036,0.0008,4809
