MTS,Outcome,β_mts,SE_mts,sig_mts,β_interaction,sig_interaction,p_interaction,β_NATO_marginal,SE_NATO_marginal,p_NATO_marginal,N
mts_pca_3feat,part_n_war,0.7602,0.3246,**,-0.3161,,0.77,0.4442,1.0357,0.668,5007
mts_pca_3feat,part_n_minor,1.5949,0.6658,**,0.6985,,0.7658,2.2933,2.2088,0.2991,5007
mts_pca_3feat,log_brd,2.1635,0.6293,***,-1.3014,**,0.0265,0.8621,0.4434,0.0519,4896
mts_milex,part_n_war,0.2265,0.37,,0.0104,,0.9929,0.2369,1.2004,0.8435,5007
mts_milex,part_n_minor,3.1567,0.9613,***,3.5097,,0.195,6.6664,2.8236,0.0182,5007
mts_milex,log_brd,0.8287,0.8215,,0.2147,,0.6343,1.0434,0.8358,0.2119,4896
mts_tiv,part_n_war,0.2485,0.1209,**,0.7067,,0.115,0.9552,0.449,0.0334,4934
mts_tiv,part_n_minor,0.6209,0.3294,*,-0.0316,,0.9752,0.5893,0.9477,0.5341,4934
mts_tiv,log_brd,0.6591,0.2735,**,-0.3172,,0.211,0.3419,0.1852,0.0649,4809
