Outcome,timing,mts_col,β,SE,p,N
log_brd,contemporaneous,mts_pca_3feat,2.0297,0.5915,0.0006,4896
log_brd,t-1,mts_pca_3feat_lag1,0.9705,0.4496,0.0309,4862
log_brd,t-3,mts_pca_3feat_lag3,-0.0072,0.5505,0.9896,4569
part_n_territorial,contemporaneous,mts_pca_3feat,0.6658,0.1938,0.0006,4896
part_n_territorial,t-1,mts_pca_3feat_lag1,0.3284,0.159,0.0389,4862
part_n_territorial,t-3,mts_pca_3feat_lag3,0.1476,0.2003,0.4614,4569
part_n_minor,contemporaneous,mts_pca_3feat,1.6606,0.6231,0.0077,5007
part_n_minor,t-1,mts_pca_3feat_lag1,1.4945,0.677,0.0273,4862
part_n_minor,t-3,mts_pca_3feat_lag3,1.2185,0.6937,0.0791,4569
